method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavg_secureagg,multimodal,none,,,,0.9211966435607443,0.0,0.0,0,216,2525,0,2741,fma_same_genre_negative,41
fedavg_secureagg,multimodal,none,,,,0.987220447284345,1.0,0.987220447284345,618,0,0,8,626,fma_speed_copy,41
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
fedavg_heagg,multimodal,none,,,,0.9382239382239382,0.0,0.0,0,16,243,0,259,fma_cross_genre_negative,41
fedavg_heagg,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavg_heagg,multimodal,none,,,,0.972972972972973,1.0,0.972972972972973,576,0,0,16,592,fma_lowpass_copy,41
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavg_heagg,multimodal,none,,,,0.9211966435607443,0.0,0.0,0,216,2525,0,2741,fma_same_genre_negative,41
fedavg_heagg,multimodal,none,,,,0.987220447284345,1.0,0.987220447284345,618,0,0,8,626,fma_speed_copy,41
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
fedavgft_plain,multimodal,none,,,,0.9420849420849421,0.0,0.0,0,15,244,0,259,fma_cross_genre_negative,41
fedavgft_plain,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavgft_plain,multimodal,none,,,,0.972972972972973,1.0,0.972972972972973,576,0,0,16,592,fma_lowpass_copy,41
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavgft_plain,multimodal,none,,,,0.9237504560379424,0.0,0.0,0,209,2532,0,2741,fma_same_genre_negative,41
fedavgft_plain,multimodal,none,,,,0.987220447284345,1.0,0.987220447284345,618,0,0,8,626,fma_speed_copy,41
